date,title,link,sentiment,sentiment_type,relevant
2023-05-15,"Closing Bell: Nifty ends around 18,400, Sensex gains 318 pts; realty index up 4% - Moneycontrol",https://news.google.com/rss/articles/CBMi-QFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9zaGFyZS1tYXJrZXQtbGl2ZS11cGRhdGVzLXN0b2NrLW1hcmtldC10b2RheS1tYXktMTUtbGF0ZXN0LW5ld3MtYnNlLW5zZS1zZW5zZXgtbmlmdHktY292aWQtY29yb25hdmlydXMtcHZyLWlub3gtdGF0YS1tb3RvcnMtaGVyby1tb3RvY29ycC1yYWlsLXZpa2FzLW5pZ2FtLWJpcmxhLWNvcnBvcmF0aW9uLWNhbmFyYS1iYW5rLTEwNTg2MTgxLmh0bWzSAQA?oc=5,0.06,Positive,True
2023-05-15,"Now make RuPay Credit Card, Debit Card payments without CVV. How it works? - The Financial Express",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL21vbmV5L25vdy1tYWtlLXJ1cGF5LWNyZWRpdC1jYXJkLWRlYml0LWNhcmQtcGF5bWVudHMtd2l0aG91dC1jdnYtaG93LWl0LXdvcmtzLzMwODc5ODIv0gEA?oc=5,0.0,Neutral,True
2023-05-15,"Nifty crossing 18,400 puts 18,800 in sight: Analysts - Economic Times",https://news.google.com/rss/articles/CBMihAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9uaWZ0eS1jcm9zc2luZy0xODQwMC1wdXRzLTE4ODAwLWluLXNpZ2h0LWFuYWx5c3RzL2FydGljbGVzaG93LzEwMDIzNjQ0Ni5jbXPSAX9odHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9uaWZ0eS1jcm9zc2luZy0xODQwMC1wdXRzLTE4ODAwLWluLXNpZ2h0LWFuYWx5c3RzL2FtcF9hcnRpY2xlc2hvdy8xMDAyMzY0NDYuY21z?oc=5,0.29,Positive,True
2023-05-15,Indiaâ€™s wholesale inflation slips into negative at -0.92% in April - The Indian Express,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9idXNpbmVzcy9lY29ub215L2luZGlhLXdob2xlc2FsZS1pbmZsYXRpb24tc2xpcHMtaW50by1uZWdhdGl2ZS1hcHJpbC04NjA5OTg4L9IBdGh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9idXNpbmVzcy9lY29ub215L2luZGlhLXdob2xlc2FsZS1pbmZsYXRpb24tc2xpcHMtaW50by1uZWdhdGl2ZS1hcHJpbC04NjA5OTg4L2xpdGUv?oc=5,-0.02,Negative,True
2023-05-15,India trade deficit in April falls to lowest in 21 months - The Economic Times,https://news.google.com/rss/articles/CBMiiQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9lY29ub215L2luZGljYXRvcnMvYXByaWwtZXhwb3J0cy1kaXAtdG8tMzQtNi1iaWxsaW9uLWJ1dC10cmFkZS1kZWZpY2l0LW5hcnJvd3MvYXJ0aWNsZXNob3cvMTAwMjUyMzU5LmNtc9IBjQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9lY29ub215L2luZGljYXRvcnMvYXByaWwtZXhwb3J0cy1kaXAtdG8tMzQtNi1iaWxsaW9uLWJ1dC10cmFkZS1kZWZpY2l0LW5hcnJvd3MvYW1wX2FydGljbGVzaG93LzEwMDI1MjM1OS5jbXM?oc=5,0.27,Positive,True
2023-05-14,Lessors calling India a risky jurisdiction is to influence court proceedings: GoFirst - The Economic Times,https://news.google.com/rss/articles/CBMitgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvdHJhbnNwb3J0YXRpb24vYWlybGluZXMtLy1hdmlhdGlvbi9sZXNzb3JzLWNhbGxpbmctaW5kaWEtYS1yaXNreS1qdXJpc2RpY3Rpb24taXMtdG8taW5mbHVlbmNlLWNvdXJ0LXByb2NlZWRpbmdzLWdvZmlyc3QvYXJ0aWNsZXNob3cvMTAwMjMzODQxLmNtc9IBAA?oc=5,0.28,Positive,True
2023-05-15,"Stocks to buy: HUL, Concor, Axis Bank, Sun Pharma among nine stocks that analysts recommend buying for short term | Mint - Mint",https://news.google.com/rss/articles/CBMiswFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3N0b2Nrcy10by1idXktaHVsLWNvbmNvci1heGlzLWJhbmstc3VuLXBoYXJtYS1hbW9uZy1uaW5lLXN0b2Nrcy10aGF0LWFuYWx5c3RzLXJlY29tbWVuZC1idXlpbmctZm9yLXNob3J0LXRlcm0tMTE2ODQxMzI4MzA2MTcuaHRtbNIBtwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3N0b2Nrcy10by1idXktaHVsLWNvbmNvci1heGlzLWJhbmstc3VuLXBoYXJtYS1hbW9uZy1uaW5lLXN0b2Nrcy10aGF0LWFuYWx5c3RzLXJlY29tbWVuZC1idXlpbmctZm9yLXNob3J0LXRlcm0vYW1wLTExNjg0MTMyODMwNjE3Lmh0bWw?oc=5,0.13,Positive,True
2023-05-15,Vedanta new CFO Sonal Shrivastava has over 26 years of financial leadership experience - CNBCTV18,https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy5jbmJjdHYxOC5jb20vYnVzaW5lc3MvY29tcGFuaWVzL3ZlZGFudGEtYXBwb2ludHMtc29uYWwtc2hyaXZhc3RhdmEtd2l0aC0yNi15ZWFycy1vZi1leHBlcmllbmNlLWFzLW5ldy1jaGllZi1maW5hbmNpYWwtb2ZmaWNlci0xNjY2NTQwMS5odG3SAZoBaHR0cHM6Ly93d3cuY25iY3R2MTguY29tL2J1c2luZXNzL2NvbXBhbmllcy92ZWRhbnRhLWFwcG9pbnRzLXNvbmFsLXNocml2YXN0YXZhLXdpdGgtMjYteWVhcnMtb2YtZXhwZXJpZW5jZS1hcy1uZXctY2hpZWYtZmluYW5jaWFsLW9mZmljZXItMTY2NjU0MDEuaHRtL2FtcA?oc=5,0.0,Neutral,True
2023-05-15,Wall St opens higher on hopes of likely debt-ceiling deal By Reuters - Investing.com,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmludmVzdGluZy5jb20vbmV3cy9zdG9jay1tYXJrZXQtbmV3cy9mdXR1cmVzLWVkZ2UtaGlnaGVyLWluLWVhcmx5LWhvdXJzLW9uLWRlYnQtdGFsa3Mtb3B0aW1pc20tMzA4MjIxONIBAA?oc=5,0.0,Neutral,True
2023-05-15,Adani Group stocks in the red ahead of Supreme Court hearing - Economic Times,https://news.google.com/rss/articles/CBMijwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9hZGFuaS1ncm91cC1zdG9ja3MtaW4tdGhlLXJlZC1haGVhZC1vZi1zdXByZW1lLWNvdXJ0LWhlYXJpbmcvYXJ0aWNsZXNob3cvMTAwMjQyMDc2LmNtc9IBigFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9hZGFuaS1ncm91cC1zdG9ja3MtaW4tdGhlLXJlZC1haGVhZC1vZi1zdXByZW1lLWNvdXJ0LWhlYXJpbmcvYW1wX2FydGljbGVzaG93LzEwMDI0MjA3Ni5jbXM?oc=5,0.29,Positive,True
